categoria,categoriaF,categoriaS,ciudad,ciudadF,comunidad,comunidadF,contenido,creador,discapacidad,educacion,educacionF,educacionReq,educacionReqF,educacionS,email,empresaSocial,fechaCreacion,fechaCreacionBoost,fechaCreacionPortal,fechaRevision,id,jornada,jornadaF,localizacion,minExperiencia,oReq,oferta,origen,pais,paisF,paisS,provincia,provinciaF,provinciaLimitrofe,provinciaS,salarioMax,salarioMin,score,speState,speStateId,subcategoria,subcategoriaF,subcategoriaS,telefono,tipoContratoN,titulo,trabajosOfertados,url,verMail,verTelefono,web
01,ADMINISTRACIÓN,ADMINISTRACIÓN,NA,NA,1,ANDALUCÍA,-,José María Arjona Tejado,False,5,"FP I, Ciclo de Grado Medio",05004,Administración,"FP I, Ciclo de Grado Medio",NA,False,2018-11-03T08:03:23Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T08:03:23Z,1672466066,1,COMPLETA,"37.3890924,-5.9844589",NA,NA,NA,SAE,724,ESPAÑA,ESPAÑA,41,SEVILLA,['SEVILLA'],SEVILLA,NA,NA,1.174693,Activa,1,NA,NA,NA,NA,2,Administración,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=66633&tipoOferta=EA&origen=&listado=true,NA,NA,NA
04,APRENDICES/PRIMER EMPLEO,APRENDICES/PRIMER EMPLEO,NA,NA,1,ANDALUCÍA,OFERTA DE EMPLEO DE MONITOR/A ESCOLAR. Nº REFERENCIA O.E. 262/18. INTERINIDAD POR INCAPACIDAD TEMPORAL.,Oficina del Servicio Andaluz de Empleo,False,NA,NA,NA,NA,NA,NA,False,2018-11-03T08:03:23Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T08:03:23Z,1672466068,2,PARCIAL,"36.721261,-4.4212655",NA,NA,NA,SAE,724,ESPAÑA,ESPAÑA,29,MÁLAGA,['MÁLAGA'],MÁLAGA,NA,688,1.174693,Activa,1,NA,NA,NA,NA,3,"TÉCNICOS ADMINISTRATIVOS, EN GENERAL",1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660802&tipoOferta=01&origen=&listado=true,NA,NA,NA
19,CUIDADOS/ASISTENCIA EN EL HOGAR,CUIDADOS/ASISTENCIA EN EL HOGAR,NA,NA,1,ANDALUCÍA,"Tipo de Oferta:EMPLEO PÚBLICO. SE OFERTA UN PUESTO DE PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL, PARA LIMPIEZA DE EDIFICIOS MUNICIPALES DEL AYUNTAMIENTO DE SANTIAGO-PONTONES (JAEN). DURACIÓN DEL CONTRATO UN MES, JORNADA A TIEMPO PARCIAL DE CINCO HORAS AL DÍA DE LUNES A VIERNES. SUELDO 640 EUROS BRUTOS AL MES. FECHA DE INCORPORACION AL TRABAJO: 12-11-2018 APROXIMADAMENTE.",Oficina del Servicio Andaluz de Empleo,False,NA,NA,NA,NA,NA,NA,False,2018-11-03T08:03:23Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T08:03:23Z,1672466067,2,PARCIAL,"37.7795941,-3.784905699999999",NA,NA,NA,SAE,724,ESPAÑA,ESPAÑA,23,JAÉN,['JAÉN'],JAÉN,NA,640,1.174693,Activa,1,19004,LIMPIEZA,LIMPIEZA,NA,3,PERSONAL DE LIMPIEZA O LIMPIADORES EN GENERAL,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660828&tipoOferta=01&origen=&listado=true,NA,NA,NA
01,ADMINISTRACIÓN,ADMINISTRACIÓN,NA,NA,1,ANDALUCÍA,Departamento Administración,Administración,False,5,"FP I, Ciclo de Grado Medio",05004,Administración,"FP I, Ciclo de Grado Medio",NA,False,2018-11-03T09:07:54Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T09:07:54Z,1672466069,1,COMPLETA,"37.3890924,-5.9844589",NA,NA,NA,SAE,724,ESPAÑA,ESPAÑA,41,SEVILLA,['SEVILLA'],SEVILLA,NA,NA,1.174693,Activa,1,NA,NA,NA,NA,2,Administración,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=66635&tipoOferta=EA&origen=&listado=true,NA,NA,NA
05,ARQUITECTURA/DISEÑO,ARQUITECTURA/DISEÑO,16078,Cuenca,7,CASTILLA LA MANCHA,"Estudio de Arquitectura. Apoyo a la oficina de proyectos,  gabinete pericial y departamento de tasaciones.",ATIE Arquitectura,False,8,Licenciado o Ingeniero Superior,08003,Arquitecto,Licenciado o Ingeniero Superior,info@atiearquitectura.com,False,2018-09-17T08:21:23Z,2018-09-17T00:00:00Z,2018-11-03T00:00:00Z,2018-11-16T00:00:00Z,1734188007,1,COMPLETA,"40.070393,-2.137416",1,Imprescindible permiso de conducir B,No necesario experiencia previa. El solicitante será formado por la empresa. Estabilidad laboral,WEB,724,ESPAÑA,ESPAÑA,16,CUENCA,['CUENCA'],CUENCA,1200,900,1.174693,Activa,1,05001,ARQUITECTOS,ARQUITECTOS,656459168,1,SE PRECISA ARQUITECTO NOVEL,1,-,True,True,www.atiearquitectura.com
10,DEPENDIENTES/INFORMACIÓN,DEPENDIENTES/INFORMACIÓN,28079,Madrid,13,MADRID,"Buscamos una persona titulada en Psicología con la habilitación sanitaria para atención psicológica en el centro de día para mujeres víctimas de violencia de género y/o en riesgo de exclusión social. Media jornada. *Valoración y diagnóstico de la situación que presenta la mujer atendida decidiendo y consensuando el proceso de intervención más adecuado para el afrontamiento y resolución de los conflictos y daños emocionales a tratas. *Intervención individual y grupal en función de las necesidades del caso. *Asistencia a las reuniones de equipo del centro con el fin de facilitar la información sobre el trabajo llevado a cabo con la mujer en este ámbito, recabando, es su caso, los datos de otras áreas y coordinando procedimientos en esta materia. * Coordinación con las profesionales de otros recursos de atención a los que se deba remitir",NA,False,8,Licenciado o Ingeniero Superior,NA,NA,Licenciado o Ingeniero Superior,NA,False,2018-11-03T00:08:40Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T01:05:05Z,1672323910,NA,NA,"40.4167754,-3.7037902",NA,NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,NA,NA,1.174693,Activa,1,10003,INFORMACIÓN/AZAFATAS/PROMOCIÓN COMERCIAL,INFORMACIÓN/AZAFATAS/PROMOCIÓN COMERCIAL,NA,NA,Titulada/o en psicología en centro de día para mujeres víctimas de violencia de género y/o en riesgo,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/titulada-o-en-psicologia-en-centro-de-dia-para-mujeres-victimas-de-violencia-de-genero-y-o-en-riesgo/154063,NA,NA,NA
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,33033,Lena,3,PRINCIPADO DE ASTURIAS,"OBJETIVO GENERAL Colaborar en el desarrollo de la estrategia del área de Acción Social en España de ACF dirigida al Fomento y Apoyo al empleo inclusivo de personas en situación o riesgo de exclusión y, de manera concreta, desarrollando el Proyecto “Vives Emplea: Metodología de Equipos de Inclusión” Desarrollar el proyecto “Vives Emplea”, según la formulación prevista y conseguir los objetivos establecidos. · Desarrollar las actividades del proyecto según la planificación y en coordinación directa con los servicios sociales de los ayuntamientos. · Gestionar los proveedores y voluntarios necesarios para el desarrollo de las acciones de formación.   Realizar los sistemas de gestión, reporte y justificación necesarios para el desarrollo del proyecto. · Participar activamente en el seguimiento y mejora continua del proyecto recogiendo y aplicando",NA,False,8,Licenciado o Ingeniero Superior,NA,NA,Licenciado o Ingeniero Superior,NA,False,2018-11-03T00:08:40Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T01:05:05Z,1672323907,NA,NA,"43.1591428,-5.8292909",NA,NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,33,ASTURIAS,['ASTURIAS'],ASTURIAS,NA,18001,1.174693,Activa,1,NA,NA,NA,NA,NA,Asturias - técnico/a de inclusión sociolaboral en pola de lena,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/asturias-tecnico-a-de-inclusion-sociolaboral-en-pola-de-lena/154064,NA,NA,NA
18,INGENIERÍA/CALIDAD/CIENCIAS,INGENIERÍA/CALIDAD/CIENCIAS,04013,Almería,1,ANDALUCÍA,Educador/a sexual para impartir curso de formación y talleres en centros de secundaria en Prevención del VIH. Diseño de campaña de sensibilización.,NA,False,8,Licenciado o Ingeniero Superior,NA,NA,Licenciado o Ingeniero Superior,NA,False,2018-11-03T00:08:40Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T01:05:05Z,1672323908,NA,NA,"36.834047,-2.4637136",NA,NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,4,ALMERÍA,['ALMERÍA'],ALMERÍA,NA,NA,1.174693,Activa,1,18005,PREVENCIÓN RIESGOS LABORALES,PREVENCIÓN RIESGOS LABORALES,NA,NA,Especialista en educación sexual/prevención del vih,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/especialista-en-educacion-sexual-prevencion-del-vih/154061,NA,NA,NA
01,ADMINISTRACIÓN,ADMINISTRACIÓN,28079,Madrid,13,MADRID,Se ofrece puesto de recepcionista con inglés en importante compañía. El horario es parcial y de tarde. Abstenerse quien no tenga el certificado de discapacidad >33% y posea un nivel de inglés alto.,NA,False,4,Bachillerato,NA,NA,Bachillerato,NA,False,2018-11-03T00:08:37Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T01:05:05Z,1672323901,NA,NA,"40.4167754,-3.7037902",NA,NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,NA,NA,1.174693,Activa,1,01004,RECEPCIONISTAS,RECEPCIONISTAS,NA,3,Recepcionista con inglés (c1) y certificado de discapacidad,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/recepcionista-con-ingles-c1-y-certificado-de-discapacidad/154091,NA,NA,NA
11,DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES,DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES,28115,Pozuelo de Alarcón,13,MADRID,Buscamos profesionales para desarrollar refuerzo de matemáticas en un IES en Pozuelo de Alarcon. Trabajo lunes y miercoles de 14:30 a 16:00h. ,NA,False,7,Diplomado o Ingeniero Técnico,NA,NA,Diplomado o Ingeniero Técnico,NA,False,2018-11-03T00:08:37Z,2018-11-03T00:00:00Z,2018-11-03T00:00:00Z,2018-11-04T01:05:05Z,1672323898,NA,NA,"40.4475272,-3.8074152",NA,NA,NA,HACESFALTA,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,NA,NA,1.174693,Activa,1,11005,OTROS PROFESIONALES,OTROS PROFESIONALES,NA,NA,Refuerzo de matemáticas. 3h semana,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/refuerzo-de-matematicas-3h-semana/154076,NA,NA,NA
